6609	1788905019.574832000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6610	1788905019.574836000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6611	1788905019.574848000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6612	1788905019.574850000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6613	1788905019.574856000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6614	1788905019.574857000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6615	1788905019.574868000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6616	1788905019.574869000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6617	1788905019.574871000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6618	1788905019.574872000	10.10.0.11,10.244.190.81	172.29.0.68,10.244.42.6	0xc943,0xc84c	0x00,0x00	43809,41110	4789,8081	080000000010000000155d2ec07b662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6619	1788905019.574927000	172.29.0.68,10.244.190.81	172.29.0.68,10.244.42.6	0xc94c,0xc84c	0x00,0x00	42410,41110	4789,8081	08000000001000000e2a0af42a06662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6620	1788905019.574928000	172.29.0.68,10.244.190.81	172.29.0.68,10.244.42.6	0xc94c,0xc84c	0x00,0x00	42410,41110	4789,8081	08000000001000000e2a0af42a06662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6621	1788905019.574929000	172.29.0.68,10.244.190.81	172.29.0.68,10.244.42.6	0xc94c,0xc84c	0x00,0x00	42410,41110	4789,8081	08000000001000000e2a0af42a06662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6622	1788905019.574930000	172.29.0.68,10.244.190.81	172.29.0.68,10.244.42.6	0xc94c,0xc84c	0x00,0x00	42410,41110	4789,8081	08000000001000000e2a0af42a06662927b4649c080045000061c84c40003f1175000af4be510af42a06a0961f91004da1606563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6623	1788905019.574988000	10.244.190.81	10.244.42.6	0xc84c	0x00	41110	8081	6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6624	1788905019.574990000	10.244.190.81	10.244.42.6	0xc84c	0x00	41110	8081	6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6625	1788905019.574992000	10.244.190.81	10.244.42.6	0xc84c	0x00	41110	8081	6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6626	1788905019.574993000	10.244.190.81	10.244.42.6	0xc84c	0x00	41110	8081	6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6627	1788905019.575032000	10.244.190.81	10.244.42.6	0xc84c	0x00	41110	8081	6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6628	1788905019.575034000	10.244.190.81	10.244.42.6	0xc84c	0x00	41110	8081	6563686f2066626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6629	1788905019.575301000	10.244.42.6	10.244.190.81	0x7e49	0x00	8081	41110	66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6630	1788905019.575303000	10.244.42.6	10.244.190.81	0x7e49	0x00	8081	41110	66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6631	1788905019.575311000	10.244.42.6	10.244.190.81	0x7e49	0x00	8081	41110	66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6632	1788905019.575312000	10.244.42.6	10.244.190.81	0x7e49	0x00	8081	41110	66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6633	1788905019.575316000	10.244.42.6	10.244.190.81	0x7e49	0x00	8081	41110	66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6634	1788905019.575317000	10.244.42.6	10.244.190.81	0x7e49	0x00	8081	41110	66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6635	1788905019.575361000	172.29.0.68,10.244.42.6	10.10.0.11,10.244.190.81	0x7f49,0x7e49	0x00,0x00	39578,8081	4789,41110	0800000000100000662927b4649c0e2a0af42a0608004500005c7e4900007f11bf080af42a060af4be511f91a0960048874566626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6636	1788905019.575363000	172.29.0.68,10.244.42.6	10.10.0.11,10.244.190.81	0x7f49,0x7e49	0x00,0x00	39578,8081	4789,41110	0800000000100000662927b4649c0e2a0af42a0608004500005c7e4900007f11bf080af42a060af4be511f91a0960048874566626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6637	1788905019.575364000	172.29.0.68,10.244.42.6	10.10.0.11,10.244.190.81	0x7f49,0x7e49	0x00,0x00	39578,8081	4789,41110	0800000000100000662927b4649c0e2a0af42a0608004500005c7e4900007f11bf080af42a060af4be511f91a0960048874566626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6638	1788905019.575365000	172.29.0.68,10.244.42.6	10.10.0.11,10.244.190.81	0x7f49,0x7e49	0x00,0x00	39578,8081	4789,41110	0800000000100000662927b4649c0e2a0af42a0608004500005c7e4900007f11bf080af42a060af4be511f91a0960048874566626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
6639	1788905019.575367000	172.29.0.68,10.244.42.6	10.10.0.11,10.244.190.81	0x7f49,0x7e49	0x00,0x00	39578,8081	4789,41110	0800000000100000662927b4649c0e2a0af42a0608004500005c7e4900007f11bf080af42a060af4be511f91a0960048874566626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878,66626330636462656235353230613862303030303030303078787878787878787878787878787878787878787878787878787878787878787878787878787878
